_id,OBJECTID,SEGMENT_ID,INSTALLED,UPGRADED,PRE_AMALGAMATION,STREET_NAME,FROM_STREET,TO_STREET,ROADCLASS,CNPCLASS,SURFACE,OWNER,DIR_LOWORDER,INFRA_LOWORDER,SEPA_LOWORDER,SEPB_LOWORDER,ORIG_LOWORDER_INFRA,DIR_HIGHORDER,INFRA_HIGHORDER,SEPA_HIGHORDER,SEPB_HIGHORDER,ORIG_HIGHORDER,BYLAWED,EDITOR,LAST_EDIT_DATE,UPGRADE_DESCRIPTION,CONVERTED,geometry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,740,740,2010,0, ,Bay St,Yorkville Ave,Cumberland St, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.3898442340966, 43.6705624975873], [-79.3901997897363, 43.6713568738083]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,741,741,2010,2015, ,York Mills Rd,Scarsdale Rd,Lesmill Rd, , , , , ,Bike Lane - Buffered, , , , ,Bike Lane - Buffered, , , , , ,, ,<Null>,"{'type': 'MultiLineString', 'coordinates': [[[-79.3574933546154, 43.7534932365934], [-79.355558103493, 43.7539205604733], [-79.3552222434039, 43.7539949714885], [-79.3541006370687, 43.7542434904897], [-79.3526458746775, 43.7545562340364], [-79.3520352271254, 43.7546986631666]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,742,742,2011,0, ,Finch Corridor Trl,Kenton Dr,Finch Corridor Trl Branch, , , , , ,Multi-Use Trail - Entrance, , , , ,Multi-Use Trail - Entrance, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.4419766047939, 43.7774996371906], [-79.4419197970194, 43.7776904959368], [-79.4418787178854, 43.7778411634693], [-79.4418613427939, 43.777913469948], [-79.4418573321691, 43.7779370869502], [-79.4418546582547, 43.7779529996398], [-79.4418546442378, 43.7779674644959], [-79.4418566183518, 43.7779814443007], [-79.4418599369372, 43.7779925354171], [-79.4418639125324, 43.7780050760544], [-79.4418876298694, 43.7780670971021], [-79.4420725480039, 43.7785140715082]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,743,743,2011,0, ,Finch Corridor Trl,Finch Corridor Trl Branch,Devondale Ave, , , , , ,Multi-Use Trail - Entrance, , , , ,Multi-Use Trail - Entrance, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.4405644980208, 43.7778225122867], [-79.4405466678384, 43.7777883256101], [-79.4405226911752, 43.7777387797536], [-79.440496872003, 43.7776932384485], [-79.4404452239976, 43.7775994914715], [-79.4404267885124, 43.7775620010337], [-79.4404101730197, 43.7775432429557], [-79.4403991131753, 43.7775218144279], [-79.440378797039, 43.7775017222437], [-79.4403640325619, 43.7774829741255], [-79.4402735376173, 43.7774280377969], [-79.4399633035214, 43.7772297327141], [-79.4397733729327, 43.7771055067841]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,744,744,2013,0, ,Chorley Park Trl,Douglas Dr,Roxborough Dr, , , , , ,Multi-Use Trail - Entrance, , , , ,Multi-Use Trail - Entrance, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.3706847472121, 43.6848466469811], [-79.3705915901472, 43.6850108603907], [-79.370290572268, 43.6853587797129], [-79.3700486525191, 43.6856561870918], [-79.3700780733222, 43.6856854027637], [-79.3700967688667, 43.6857185038048], [-79.3701020683474, 43.6857515806192], [-79.3700992841601, 43.6858002205035], [-79.3700858166941, 43.6858332669886], [-79.3700643118695, 43.6858546566485], [-79.3700347944058, 43.6858701773456], [-79.3700734307382, 43.6859801451918], [-79.3701001092851, 43.6860443908141], [-79.3701003811599, 43.6860448591908], [-79.3701241466635, 43.686085266044], [-79.3701401883051, 43.6861066893694], [-79.3701723136132, 43.6861300662411], [-79.3702044515036, 43.6861476192744], [-79.3702526814617, 43.6861632372824], [-79.3703223703323, 43.6861730467712], [-79.3703840342398, 43.6861711724274], [-79.370443052419, 43.6861537227964], [-79.3704940411967, 43.6861323844764], [-79.3705396674428, 43.6861071424959], [-79.3705772517641, 43.6860838356737], [-79.3706067941734, 43.6860624640179], [-79.3706175695026, 43.6860410801154], [-79.3706418205789, 43.6859769012611], [-79.3706580212387, 43.6859243879834], [-79.3706849513047, 43.6858660539962], [-79.370706481093, 43.6858271657125], [-79.3707252940335, 43.6858057818886], [-79.3707653236953, 43.6857757447932], [-79.3708052649494, 43.6857637642001], [-79.3708745730108, 43.6857485402953], [-79.3709446371819, 43.6857393300733], [-79.3710410329559, 43.6857367024672], [-79.3711072982533, 43.6857406027602], [-79.3712052217444, 43.6857949909996]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,745,745,2013,0, ,Waterfront Trl,Spadina Ave,Queens Quay W, , , , , ,Multi-Use Trail - Boulevard, , , , ,Multi-Use Trail - Boulevard, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.3922264684106, 43.6384537071485], [-79.3919237186154, 43.6385293209587], [-79.3915996871692, 43.6386119258622], [-79.3914504452867, 43.6386693210627], [-79.3913035608642, 43.6387182570132], [-79.3912196163505, 43.6387520133488], [-79.3907814138008, 43.638824353676], [-79.3896624770447, 43.6390225336867], [-79.3888519105966, 43.6391622509797], [-79.3882812843445, 43.6392466947625], [-79.3878058925938, 43.6393252972929], [-79.3874626048995, 43.6393537012652], [-79.3870334474225, 43.6394227776222], [-79.3868170649044, 43.6394309258715], [-79.3865779432504, 43.6394630578268], [-79.3863402556769, 43.6395035709901], [-79.3861157327055, 43.6395560686065], [-79.3858516264488, 43.6396061318971], [-79.3855908133874, 43.639651382136], [-79.3852739019147, 43.6397037675946], [-79.3849338809593, 43.639765706381], [-79.3846532635651, 43.6398157322777], [-79.3844221579712, 43.639861018821], [-79.3841382275795, 43.6399254153019], [-79.383864161057, 43.6399970131981], [-79.3836528358254, 43.6400614912103], [-79.3834216636597, 43.6401403327931], [-79.3832301236045, 43.6402024358309], [-79.3831440464695, 43.6402651684806], [-79.3830468556403, 43.6402745475392], [-79.3828974094158, 43.6403351178339], [-79.3827280433121, 43.6404028956045], [-79.3825826043899, 43.640454783269], [-79.3824710427593, 43.6404922493723], [-79.382321623633, 43.6405383627299], [-79.3821901465436, 43.6405743588342], [-79.3820626716352, 43.6406045800328], [-79.3819232472049, 43.6406290098639], [-79.3817778485015, 43.6406534333466], [-79.3814860882153, 43.6407001184285], [-79.3812032692266, 43.640750421609], [-79.3809144717496, 43.6407963881999], [-79.3807133234216, 43.6408323190066], [-79.3806404948291, 43.6408688785867], [-79.3803886724102, 43.6408883643966], [-79.3802572326958, 43.6408983353385], [-79.3800264477869, 43.6408098618853], [-79.3797757636916, 43.6407184775976], [-79.3795887448519, 43.6406488531512], [-79.3793706399357, 43.6405735427357], [-79.3793062392677, 43.6405357319919], [-79.3792644926187, 43.6404995383832], [-79.3792128346226, 43.640448869076], [-79.3791369106789, 43.6403599092421]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,746,746,2013,0, ,Caribou Ave,West Toronto Rail Path Trl,Osler St, , , , , ,Signed Route (No Pavement Markings), , , , ,Signed Route (No Pavement Markings), , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.4583882217546, 43.6667442403341], [-79.4578635539993, 43.6668895817296]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,747,747,2013,0, ,Osler St,Davenport Rd,Cariboo Ave, , , , , ,Signed Route (No Pavement Markings), , , , ,Signed Route (No Pavement Markings), , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.4578635539993, 43.6668895817296], [-79.4580773182332, 43.6672080645423], [-79.4582103750509, 43.6673443034526], [-79.4582685345709, 43.6673931929435], [-79.4582929746919, 43.6674295582522], [-79.4583163712529, 43.6675046289119], [-79.4583263140778, 43.6675792625978], [-79.4587693627185, 43.6686032979046], [-79.4593818622906, 43.6700388424615], [-79.4595400056266, 43.6704102124017]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,748,748,2013,0, ,Bond Ave,Scarsdale Rd,Bond Park Trl, , , , , ,Signed Route (No Pavement Markings), , , , ,Signed Route (No Pavement Markings), , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.3531737079004, 43.7447660977662], [-79.3534446447108, 43.744707208516], [-79.3539359569966, 43.7446004259735]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,749,749,2013,0, ,Scarsdale Rd,York Mills Rd,Bond Ave, , , , , ,Signed Route (No Pavement Markings), , , , ,Signed Route (No Pavement Markings), , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.3539359569966, 43.7446004259735], [-79.3543053088509, 43.7462738532086], [-79.3543137852737, 43.7463522645375], [-79.3543136947743, 43.7463588623078], [-79.3543124945716, 43.7464544086028], [-79.3542986961586, 43.7465737290299], [-79.354274095883, 43.7467338021512], [-79.3542241301455, 43.7469546640727], [-79.354107563472, 43.7477116608485], [-79.3540949201662, 43.7477947618463], [-79.3540994387014, 43.7478872370025], [-79.3541108134204, 43.747968595418], [-79.3541465413414, 43.7480840814769], [-79.3541888850635, 43.7481801153563], [-79.3542436277697, 43.7482937533856], [-79.3553931285159, 43.7510338475029], [-79.3554395291755, 43.7511433517987], [-79.3554962625729, 43.7512110135548], [-79.355552514442, 43.751277585528], [-79.3556237289596, 43.7513288293273], [-79.3557054207828, 43.7513813554784], [-79.3557959042946, 43.7514235232802], [-79.3559050544368, 43.751474724746], [-79.3560353256622, 43.7515212090797], [-79.3566466562898, 43.7517565937243], [-79.3567471243405, 43.751814516391], [-79.3568431781983, 43.7518698230923], [-79.3569199758996, 43.7519342148228], [-79.3569972431458, 43.752015295312], [-79.3570620855378, 43.7520943259394], [-79.3571073352257, 43.7521777336227], [-79.3571341468145, 43.7522760242273], [-79.3571707969863, 43.7524092787736], [-79.3572162888727, 43.7525633371193], [-79.357402286846, 43.7531618789535], [-79.3574302460815, 43.7532635913586], [-79.3574933546154, 43.7534932365934]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,750,750,2013,0, ,Lesmill Rd,Valleybrook Dr,York Mills Rd, , , , , ,Signed Route (No Pavement Markings), , , , ,Signed Route (No Pavement Markings), , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.3520352271254, 43.7546986631666], [-79.3522267388899, 43.7552031398498], [-79.3528053569152, 43.7565229753283], [-79.3531263679458, 43.7572970046915], [-79.3531927936965, 43.7574092988754], [-79.3532954488526, 43.7575098029603], [-79.3534491948559, 43.7576407874933], [-79.3536273219032, 43.7577554748833], [-79.3538106399118, 43.7578245596027], [-79.3540097775241, 43.7578996860307], [-79.3541483927688, 43.7579416375206], [-79.3542741220078, 43.7579612854673], [-79.354391018735, 43.7579565107968], [-79.3544375933202, 43.7579496032]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,751,751,2013,0, ,Valleybrook Dr,Lesmill Rd,Duncan Mill Rd, , , , , ,Signed Route (No Pavement Markings), , , , ,Signed Route (No Pavement Markings), , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.3544375933202, 43.7579496032], [-79.3542783340373, 43.7584670316715], [-79.3538302942604, 43.7598924817782], [-79.3537017370267, 43.7602877124204], [-79.3531946260421, 43.7619270780943]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,752,752,2013,0, ,Duncan Mill Rd,Valleybrook Dr,Betty Sutherland Trl, , , , , ,Signed Route (No Pavement Markings), , , , ,Signed Route (No Pavement Markings), , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.3531946260421, 43.7619270780943], [-79.3509403890246, 43.7615521145335], [-79.3506654591952, 43.7615120964364], [-79.3503989398748, 43.7614761932265], [-79.3503782283374, 43.7614745369012]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,753,753,2005,0, ,Sumach St,King St E,Richmond St E, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,, ,2014,"{'type': 'MultiLineString', 'coordinates': [[[-79.3584042969109, 43.6550064968399], [-79.3583882926574, 43.6551696535338], [-79.3583805541529, 43.6552762019559], [-79.3583780608183, 43.6553875905998], [-79.3583954892189, 43.6554994899938], [-79.3584158502172, 43.6555821566248]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,754,754,2014,0, ,Bathurst St,Richmond St W,Adelaide St W, , , , , , , , , , ,Bike Lane, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.4032337335071, 43.6451920095979], [-79.4033696503018, 43.6455165879014], [-79.4037609527593, 43.6464717470678]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,755,755,2014,0, ,Simcoe St,82.7 M N Front St,Front St W, , , , , ,Sharrows, , , , ,Cycle Track, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.3850214987939, 43.6447756078322], [-79.3853224804318, 43.6454876303834]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,756,756,2014,0, ,Dufferin Grove Park Trl,Dufferin Park Ave,48/4 M N Sylvan Ave, , , , , , , , , , ,Multi-Use Trail - Existing Connector, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.4328156956025, 43.6574524521116], [-79.4328056169685, 43.6574071333925], [-79.4327799463737, 43.6573909518759], [-79.4327559923667, 43.6573585959373], [-79.4327184162944, 43.6572677772095], [-79.4326910919237, 43.657189413372], [-79.4326432716592, 43.6570575424265], [-79.4326210870635, 43.656984141342], [-79.4325972151272, 43.6569008017661], [-79.432580166142, 43.6568249193267], [-79.432561413247, 43.6567428249464], [-79.432551206294, 43.6566905840846], [-79.4325258629087, 43.6566150297901], [-79.4324994635851, 43.6565414281587], [-79.4324730680581, 43.6564644960225], [-79.4324420700204, 43.6563791809009], [-79.4324144998693, 43.6563106103104], [-79.4323777684037, 43.6562194409006], [-79.4323524921696, 43.6561617452833], [-79.4323236717222, 43.6561027243629], [-79.4322906712429, 43.656034501577], [-79.4322523948261, 43.655961468932], [-79.4322302873078, 43.6559195275294], [-79.4322079050026, 43.6558684045799], [-79.4321875592842, 43.6558143213887], [-79.4321621705719, 43.6557246978611], [-79.4321418432891, 43.655654322223], [-79.4321296518747, 43.6556143219754], [-79.4321184788782, 43.655561720437], [-79.4321032670245, 43.6554846778251], [-79.4320931080317, 43.6554454258918], [-79.4320782679628, 43.6554125621368], [-79.4320680243421, 43.6553934191733], [-79.4320380036442, 43.6553878834999]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
